Manuscript,coteString,
http://rdfh.ch/0112/Tdn_16XBR_aBoZvtzAKfYg,CR 10/2,
http://rdfh.ch/0112/Llwga4kpQp21TVDJt4deYg,CG 363/1,
http://rdfh.ch/0112/lDnNn0bbSh-aZvTHAznXEA,CG 265/3,
http://rdfh.ch/0112/QAO8zpWpR6yVISmu0VlSLg,CG 265,
http://rdfh.ch/0112/qwHpnDYuTHqg0B_ATY4P9A,CG 265/3,
http://rdfh.ch/0112/OejlFdQ-QSaApunsv4Gv9Q,CG 265/2,
http://rdfh.ch/0112/BTZLitCUTTGrJFqCcnYXpg,CG 265,
http://rdfh.ch/0112/Ukkgk1uIRIa128QnWb4oVg,CG 479/3,
http://rdfh.ch/0112/UHmTzB6JR_aVOFNKtzI5gw,CG 481/4,
http://rdfh.ch/0112/fyuSkTPfRzCgtFvXB1QmsQ,CG 485/120,
http://rdfh.ch/0112/z5fmCopkT76rzuzimRECzg,CG 485/151,
http://rdfh.ch/0112/OqV-sHNiSmSj2UxTXU3usA,CG 503/3-4,
http://rdfh.ch/0112/qD5golgMScyPUoRChZwiFw,CG 446,
http://rdfh.ch/0112/MiGKubdjR96Tr2YvYy0Jqg,CG 531/16,
http://rdfh.ch/0112/K_6MUxV6TTaHsC2sAi_YsQ,CD 5/10-11,
http://rdfh.ch/0112/TVJRmEc8TjOyz12hxgJVDw,CRJ 32,
http://rdfh.ch/0112/q8JQ5IbATKSyTi2yPtYgeA,CRJ 42,
http://rdfh.ch/0112/TcZ0uF1WS0Cf7upg02iZhA,MS 2 E/4a,
http://rdfh.ch/0112/FMZFqDXAQaKLnEvMLio_hg,MS 2 E/4b,
http://rdfh.ch/0112/N8Baove5RPS9uQJzqzhfrA,CEI 20/C,
http://rdfh.ch/0112/_JZFA1wMQES9jE6fy8vKpw,CG 241,
http://rdfh.ch/0112/-J6wl2n1Qum_qm8eQZhQ9A,CEI 29/204,
http://rdfh.ch/0112/uwbQxV1USPmF0xoL2jMBXw,CEI 29/19,
http://rdfh.ch/0112/RT5-Rjv-TA6hjlVtjG-eeA,CEI 20/8/167,
http://rdfh.ch/0112/S7hqVQ6uS-S9SZl2mDwRQw,MS 4 D/17a,
http://rdfh.ch/0112/xYwoGGjISSiPzbK4pRBDbg,BIO 34/6,
http://rdfh.ch/0112/nbXVY6ytStKNICF61LE-GA,Bio 34/6,
http://rdfh.ch/0112/G9BMmDDOQbKN-oFrii2yRQ,BIO 34,
http://rdfh.ch/0112/4Shd6cNRQT-_dhHSfZt2lA,MS 5 A/2a,
http://rdfh.ch/0112/lSsGWXLiT-ClHf-2otvdaw,MS 5 A/6a,
http://rdfh.ch/0112/3pDvmL9nQGOd8pz-2N3n_g,Bio 30/C,
