pub,pubLabel
http://rdfh.ch/0112/tMFBPKCOQSepscmDMh3ToQ,"pub_Roud Gustave_[Que de vies attendent le regard d'autrui…]_Jean Clerc, Sculpteur, 1908-1933_1943-11-12"
http://rdfh.ch/0112/fESZRpdcTvi80cQBa_p_Zg,pub_Roud Gustave_Le mystère Lecoultre_Jean Lecoultre_Dix pochoirs_1959
http://rdfh.ch/0112/VKgn8WduRnWXkSTTdmEmJA,"pub_Roud Gustave, Paulhan Jean_Correspondance Jean Paulhan – Gustave Roud_Jean Paulhan, C. F. Ramuz, Gustave Roud, Le Patron, le pauvre homme, le solitaire. Lettres, articles et documents_2007"
http://rdfh.ch/0112/v5JoQiOARNO6lrirRHZv3g,"pub_Hölderlin Friedrich_Le Rhin_Jean Paulhan, C. F. Ramuz, Gustave Roud, Le Patron, le pauvre homme, le solitaire. Lettres, articles et documents_2007"
http://rdfh.ch/0112/tsdZFPk4RSyqMZXjl3LUEw,pub_Roud Gustave_Le Haut-Jorat_Jorat_1974
http://rdfh.ch/0112/cu1iDmTpQauBSLw_wUqdAA,"pub_Roud Gustave_La vie artistique, L'aula décorée par M. Rivier_L'Aula du Palais de Rumine, le décor de Louis Rivier_1987"
http://rdfh.ch/0112/tpJxqYZYT1C7vJ6O-g4hog,pub_Roud Gustave_Lutteur _La Terre Vaudoise_1938-10-22
http://rdfh.ch/0112/gvBg_3xSTNGd_EtW_9pjag,pub_Roud Gustave_Itinéraire…_La Vallée de la Broye_1953
http://rdfh.ch/0112/9qtgSdlXQr6vzDrx5qUKvQ,"pub_Anex Georges_Gustave Roud, ce voyageur jamais arrivé_La Vie protestante_1967-04-07"
http://rdfh.ch/0112/gHaDrDwISxWPAibrJpZfSA,"pub_Roud Gustave_Paysan vaudois. Labour d'automne à la charrue brabant. Pour assurer l'alimentation du peuple suisse : les semailles_Le paysan suisse, sa patrie et son oeuvre : conditions et évolution de l'agriculture suisse au vingtième siècle_1939"
http://rdfh.ch/0112/sqndl9LVQkqex3s6Yn_pzQ,"pub_Roud Gustave_Lieu de toutes les rencontres, cette ville encore proche…_Lausanne_1952"
